	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
Bloom Syndrome_BLM_AR	Bloom Syndrome	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	604610	BLM               (RECQL3)	BLM	641	Short stature, dysmorphic facies, sun-sensitive erythema, marrow failure, leukemia, lymphoma, chromosomal instability	Normal	Normal	Low	nan	nan	[]	['hsa03440  Homologous recombination', 'hsa03460  Fanconi anemia pathway']	['HP:0004322', 'HP:0002715', 'HP:0001999', 'HP:0000007', 'HP:0001909', 'HP:0004313', 'HP:0002665', 'HP:0010783', 'HP:0005403']
Immunodeficiency with centromeric instability and facial anomalies, ICF3_CDCA7_AR	Immunodeficiency with centromeric instability and facial anomalies, ICF3	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	609937	CDCA7	CDCA7	83879	Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16	responses to PHA may be decreased	Decreased or normal	Variably low IgG, IgA	nan	nan	[]	[]	['HP:0002715', 'HP:0001999', 'HP:0010976', 'HP:0002720', 'HP:0000007', 'HP:0002024', 'HP:0000158', 'HP:0004313', 'HP:0005403']
Immunodeficiency with centromeric instability and facial anomalies, ICF1_DNMT3B_AR	Immunodeficiency with centromeric instability and facial anomalies, ICF1	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	602900	DNMT3B	DNMT3B	1789	Facial dysmorphic features, developmental delay, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16	Decreased or normal, responses to PHA may be decreased	Decreased or normal	Variably low IgG, IgA	nan	nan	['Azacitidine: D03021<JP/US>', 'Decitabine: D03665<US>']	['hsa00270  Cysteine and methionine metabolism', 'hsa01100  Metabolic pathways', 'hsa05206  MicroRNAs in cancer']	['HP:0002715', 'HP:0001999', 'HP:0010976', 'HP:0002720', 'HP:0000007', 'HP:0001263', 'HP:0002024', 'HP:0000158', 'HP:0004313', 'HP:0005403']
GINS1 deficiency_GINS1_AR	GINS1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	610608	GINS1	GINS1	9837	IUGR	Low or normal	Low or normal	High IgA, low IgM and IgG	Low	Low NK	[]	[]	['HP:0002715', 'HP:0010976', 'HP:0000007', 'HP:0001510', 'HP:0001875', 'HP:0002850', 'HP:0003261', 'HP:0001511', 'HP:0005403', 'HP:0004315']
Immunodeficiency with centromeric instability and facial anomalies, ICF4_HELLS_AR	Immunodeficiency with centromeric instability and facial anomalies, ICF4	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	603946	HELLS	HELLS	3070	Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16	Decreased or normal,	Decreased or normal	Variably low IgG, IgA	nan	nan	[]	[]	['HP:0002715', 'HP:0001999', 'HP:0010976', 'HP:0002720', 'HP:0000007', 'HP:0002024', 'HP:0000158', 'HP:0004313', 'HP:0005403']
Ligase I deficiency_LIG1_AR	Ligase I deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	126391	LIG1	LIG1	3978	Recurrent respiratory infections,  growth retardation, sun sensitivity, lymphoma, radiation sensitivity	Lymphopenia, decreased mitogen response	Normal	Low, poor function	nan	nan	[]	['hsa03030  DNA replication', 'hsa03410  Base excision repair', 'hsa03420  Nucleotide excision repair', 'hsa03430  Mismatch repair']	['HP:0002715', 'HP:0011947', 'HP:0000992', 'HP:0000007', 'HP:0001510', 'HP:0002665', 'HP:0002205', 'HP:0004313', 'HP:0005403']
MCM10 deficiency_MCM10_AR	MCM10 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR		MCM10	MCM10	55388	CMV, HLH-like, phenocopies GINS1 and MCM4	Mild lymphopenia with decreased CM, EM T cells	Low	Slightly low IgG	nan	VERY low NK, absent CD56dim, poor NK function	[]	[]	['HP:0010976', 'HP:0002715', 'HP:0000007', 'HP:0005403', 'HP:0004315']
MCM4 deficiency_MCM4_AR	MCM4 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	602638	MCM4	MCM4	4173	Viral infections (EBV, HSV, VZV),  short stature, B cell lymphoma, adrenal failure	Normal	Normal	Normal	nan	Low NK	[]	['hsa03030  DNA replication', 'hsa04110  Cell cycle']	['HP:0004322', 'HP:0002715', 'HP:0012191', 'HP:0000007', 'HP:0002665', 'HP:0005403']
Nijmegen breakage syndrome_NBN_AR	Nijmegen breakage syndrome	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	602667	NBS1	NBN	4683	Microcephaly, dysmorphic facies, lymphomas, solid tumors, increased radiosensitivity, chromosomal instability	Progressive decrease	Variably reduced	Variable	nan	nan	[]	['hsa03440  Homologous recombination', 'hsa04218  Cellular senescence']	['HP:0002715', 'HP:0001999', 'HP:0002664', 'HP:0000007', 'HP:0002665', 'HP:0000252', 'HP:0005403']
NSMCE3 deficiency_NSMCE3_AR	NSMCE3 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	608243	NSMCE3	NSMCE3	56160	Severe lung disease (possibly viral), thymic hypoplasia, Chromosomal breakage, radiation sensitivity	Number decreased, poor response to mitogens and antigens	Normal	Normal IgG, IgA, normal to elevated IgM; decreased antibody responses to PPS	nan	nan	[]	[]	['HP:0002088', 'HP:0002715', 'HP:0000778', 'HP:0000007', 'HP:0003496', 'HP:0040012', 'HP:0410299', 'HP:0005403']
PMS2 Deficiency_PMS2_AR	PMS2 Deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	600259	PMS2	PMS2	5395	Recurrent infections, café-au-lait spots, lymphoma, colorectal carcinoma, brain tumors	Normal	Low B cells, switched and non-switched	Low IgG and IgA, high IgM, abnormal antibody responses	nan	nan	[]	['hsa03430  Mismatch repair', 'hsa03460  Fanconi anemia pathway']	['HP:0031404', 'HP:0002715', 'HP:0030731', 'HP:0010976', 'HP:0002664', 'HP:0002719', 'HP:0002720', 'HP:0000007', 'HP:0003496', 'HP:0002665', 'HP:0030692', 'HP:0005403', 'HP:0004315']
X-linked reticulate pigmentary disorder-POLA1_POLA1_XL	X-linked reticulate pigmentary disorder-POLA1	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	XL	301220	POLA1	POLA1	5422	Hyperpigmentation, characteristic facies, lung and GI involvement	nan	nan	nan	nan	nan	['Clofarabine: D03546<JP/US>']	['hsa03030  DNA replication']	['HP:0001417', 'HP:0005403', 'HP:0002715']
POLE1 (Polymerase ε subunit 1) deficiency (FILS syndrome)_POLE_AR	POLE1 (Polymerase ε subunit 1) deficiency (FILS syndrome)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	174762	POLE1	POLE	5426	Recurrent respiratory infections, meningitis, facial dysmorphism, livido, short stature	Decreased T cell proliferation	Low memory B cells	nan	nan	nan	[]	['hsa03030  DNA replication', 'hsa03410  Base excision repair', 'hsa03420  Nucleotide excision repair']	['HP:0004322', 'HP:0002715', 'HP:0001999', 'HP:0011947', 'HP:0030374', 'HP:0000007', 'HP:0033832', 'HP:0002205', 'HP:0001287', 'HP:0005403']
POLE2 (Polymerase ε subunit 2) deficiency_POLE2_AR	POLE2 (Polymerase ε subunit 2) deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	602670	POLE2	POLE2	5427	Recurrent infections, disseminated BCG infections, autoimmunity (type 1 diabetes, hypothyroidism, facial dysmorphism	Lymphopenia, lack of TRECS, absent proliferation in response to antigens	Very low	nan	nan	nan	[]	['hsa03030  DNA replication', 'hsa03410  Base excision repair', 'hsa03420  Nucleotide excision repair']	['HP:0000821', 'HP:0002715', 'HP:0002960', 'HP:0001999', 'HP:0005365', 'HP:0100651', 'HP:0002719', 'HP:0000007', 'HP:0005403']
RNF168 deficiency (Radiosensitivity, Immune Deficiency, Dysmorphic features, Learning difficulties [RIDDLE] Syndrome)_RNF168_AR	RNF168 deficiency (Radiosensitivity, Immune Deficiency, Dysmorphic features, Learning difficulties [RIDDLE] Syndrome)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	612688	RNF168	RNF168	165918	Short stature, mild defect of motor control to ataxia, normal intelligence to learning difficulties, mild facial dysmorphism to microcephaly,  increased radiosensitivity	Normal	Normal	Low IgG or IgA	nan	nan	[]	[]	['HP:0004322', 'HP:0002715', 'HP:0001999', 'HP:0002720', 'HP:0001251', 'HP:0000007', 'HP:0000252', 'HP:0005403', 'HP:0004315']
Immunodeficiency with centromeric instability and facial anomalies, ICF2_ZBTB24_AR	Immunodeficiency with centromeric instability and facial anomalies, ICF2	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	AR	614064	ZBTB24	ZBTB24	9841	Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16	Decreased or normal	Decreased or normal	Variably low IgG, IgA	nan	nan	[]	[]	['HP:0002715', 'HP:0001999', 'HP:0010976', 'HP:0002720', 'HP:0000007', 'HP:0002024', 'HP:0000158', 'HP:0004313', 'HP:0005403']
Chromosome 11q deletion syndrome (Jacobsen syndrome)_11q23del_AD	Chromosome 11q deletion syndrome (Jacobsen syndrome)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	147791	11q23del	11q23del	11q23del	Recurrent respiratory infections, multiple warts, facial dysmorphism, growth retardation	Variably low	Decreased numbers of B cells and switched memory B cells	Variably low	Normal	nan			['HP:0000006', 'HP:0002715', 'HP:0001999', 'HP:0011947', 'HP:0001510', 'HP:0200043', 'HP:0002205', 'HP:0004313', 'HP:0005403']
CHARGE syndrome due to CHD7 deficiency_CHD7_AD	CHARGE syndrome due to CHD7 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	608892	CHD7	CHD7	55636	Coloboma, heart anomaly, choanal atresia, intellectual disability, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs	Decreased or normal, response to PHA may be decreased	Normal	Normal or decreased	Normal	nan	[]	[]	['HP:0000453', 'HP:0000006', 'HP:0002715', 'HP:0001249', 'HP:0000598', 'HP:0004313', 'HP:0005403', 'HP:0000589']
Chromosome 10p13-p14 deletion Syndrome (10p13-p14DS)_Del10p13-p14_AD	Chromosome 10p13-p14 deletion Syndrome (10p13-p14DS)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	601362	Del10p13-p14	Del10p13-p14	Del10p13-p14	Hypoparathyroidism, renal disease, deafness, growth retardation, facial dysmorphism, cardiac defects may be present, recurrent infections +/-	Normal, rarely lymphopenia and decreased lymphoproliferation to mitogens and antigens, hypolastic thymus may be present	Normal	Normal	Normal	nan			['HP:0000006', 'HP:0000829', 'HP:0002715', 'HP:0001999', 'HP:0000365', 'HP:0002719', 'HP:0001510', 'HP:0005403']
Winged helix FOXN1 deficiency (Nude SCID)_FOXN1_AR	Winged helix FOXN1 deficiency (Nude SCID)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AR	600838	FOXN1	FOXN1	8456	Severe infections,  abnormal thymic epithelium, immunodeficiency, congenital alopecia, nail dystrophy,  neural tube defect	Very low	Normal	Low	Normal	nan	[]	[]	['HP:0032169', 'HP:0002715', 'HP:0001596', 'HP:0000007', 'HP:0002721', 'HP:0008404', 'HP:0045005', 'HP:0004313', 'HP:0005403']
FOXN1 Haplosufficiency_FOXN1_AD	FOXN1 Haplosufficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	618806	FOXN1	FOXN1	8456	Recurrent, viral and bacterial respiratory tract infections; skin involvement (eczema, dermatitis), nail dystropyhy	Severe T cell lymphopenia at birth, nomrmalised by adulthood	Normal or low	nan	Normal	nan	[]	[]	['HP:0000006', 'HP:0000964', 'HP:0002715', 'HP:0011947', 'HP:0008404', 'HP:0005403', 'HP:0011123']
Chromosome 22q11.2 deletion Syndrome (22q11.2DS) (AKA DiGeorge/velocardiofacial syndrome)_Large (3Mb) deletion of 22q11.2_AD	Chromosome 22q11.2 deletion Syndrome (22q11.2DS) (AKA DiGeorge/velocardiofacial syndrome)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	602054	Large (3Mb) deletion of 22q11.2	22q11.2	22q11.2	Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability	5% have < 1500 CD3T cells/uL in neonatal period	Normal numbers in childhood usually	Normal or decreased	Normal	nan			['HP:0000006', 'HP:0000829', 'HP:0002715', 'HP:0001249', 'HP:0004313', 'HP:0005403']
CHARGE syndrome due to SEMA3E deficiency_SEMA3E_AD	CHARGE syndrome due to SEMA3E deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	608166	SEMA3E	SEMA3E	9723	Coloboma, heart anomaly, choanal atresia, intellectual retardation, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs	Decreased or normal, response to PHA may be decreased	Normal	Normal or decreased	Normal	nan	[]	['hsa04360  Axon guidance']	['HP:0000453', 'HP:0000006', 'HP:0002715', 'HP:0000598', 'HP:0004313', 'HP:0005403', 'HP:0000589']
TBX1 deficiency_TBX1_AD	TBX1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	AD	602054	TBX1	TBX1	6899	Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability	Decreased or normal	Normal	Normal or decreased	Normal	nan	[]	[]	['HP:0000006', 'HP:0000829', 'HP:0002715', 'HP:0001249', 'HP:0004313', 'HP:0005403']
Immunoskeletal dysplasia with neurodevelopmental abnormalities (EXTL3 Deficiency)_EXTL3_AR	Immunoskeletal dysplasia with neurodevelopmental abnormalities (EXTL3 Deficiency)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	AR	617425	EXTL3	EXTL3	2137	Platyspondyly, kyphosis, variable skeletal dysplasias, developmental delay	Reduced	Normal	Decreased to normal	nan	nan	[]	['hsa00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin', 'hsa01100  Metabolic pathways']	['HP:0002715', 'HP:0000926', 'HP:0000007', 'HP:0001263', 'HP:0002808', 'HP:0002652', 'HP:0004313', 'HP:0005403']
MYSM1 deficiency_MYSM1_AR	MYSM1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	AR	612176	MYSM1	MYSM1	114803	Short stature, recurrent infections, congenital bone marrow failure, myelodysplasia, immunodeficiency affecting B-cells and granulocytes, skeletal anomalies, cataracts,  developmental delay.	T cell lymphopenia, reduced naïve T cells	Immature B cells	nan	nan	nan	[]	[]	['HP:0004322', 'HP:0002863', 'HP:0002715', 'HP:0032320', 'HP:0005528', 'HP:0002719', 'HP:0000007', 'HP:0002721', 'HP:0000924', 'HP:0001263', 'HP:0005403', 'HP:0000518']
Cartilage hair hypoplasia (CHH)_RMRP_AR	Cartilage hair hypoplasia (CHH)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	AR	 157660	RMRP	RMRP	6023	Short-limbed dwarfism with metaphyseal dysostosis, sparse hair, bone marrow failure, autoimmunity, susceptibility to lymphoma and other cancers, impaired spermatogenesis, neuronal dysplasia of the intestine	Varies from severely decreased (SCID) to normal, impaired lymphocyte proliferation	Normal	nan	Variable	nan	[]	['hsa03008  Ribosome biogenesis in eukaryotes']	['HP:0002715', 'HP:0002960', 'HP:0005528', 'HP:0002664', 'HP:0000007', 'HP:0003510', 'HP:0008873', 'HP:0002665', 'HP:0008070', 'HP:0005403', 'HP:0008669']
MOPD1 deficiency  (Roifman syndrome)_RNU4ATAC_AR	MOPD1 deficiency  (Roifman syndrome)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	AR	601428	RNU4ATAC	RNU4ATAC	100151683	Recurrent bacterial infections, lymphadenopathy, Spondyloepiphyseal dysplasia, extreme intrauterine growth retardation, retinal dystrophy, facial dysmorphism, may present with microcephaly, short stature	Normal	Normal	Hypogammaglobulinemia, variably decreased specific antibodies	nan	nan	[]	[]	['HP:0004322', 'HP:0002718', 'HP:0002715', 'HP:0000556', 'HP:0001999', 'HP:0000007', 'HP:0001510', 'HP:0000252', 'HP:0002655', 'HP:0001511', 'HP:0004432', 'HP:0005403', 'HP:0002716']
Schimke Immuno-osseous Dysplasia_SMARCAL1_AR	Schimke Immuno-osseous Dysplasia	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	AR	606622	SMARCAL1	SMARCAL1	50485	Short stature, spondiloepiphyseal dysplasia, intrauterine growth retardation, nephropathy, bacterial, viral, fungal infections, may present as SCID, bone marrow failure	Decreased	Normal	nan	Variable	nan	[]	[]	['HP:0004322', 'HP:0004430', 'HP:0002715', 'HP:0005528', 'HP:0000007', 'HP:0002721', 'HP:0001510', 'HP:0000112', 'HP:0005387', 'HP:0002655', 'HP:0001511', 'HP:0005403']
CARD11 DN LOF_CARD11_AD DN	CARD11 DN LOF	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AD DN	607210	CARD11	CARD11	84433	Severe atopy, recurrent infections	Normal numbers, low mitogens	Normal numbers	High IgE, poor specific antibody production	nan	nan	[]	['hsa04064  NF-kappa B signaling pathway', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway']	['HP:0000006', 'HP:0002715', 'HP:0001051', 'HP:0002719', 'HP:0003212', 'HP:0012475']
ERBIN deficiency_ERBB21P_AD	ERBIN deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AD	606944	ERBB21P	ERBIN	55914	Recurrent respiratory infections, susceptibility to S. aureus, eczema, hyperextensible joints, scoliosis, arterial dilatation in some	Increased Treg	Normal	Normal to increased IgE	Normal	nan	[]	['hsa04621  NOD-like receptor signaling pathway']	['HP:0000006', 'HP:0000964', 'HP:0002715', 'HP:0001051', 'HP:0011947', 'HP:0003212', 'HP:0002205', 'HP:0002650', 'HP:0001382']
IL6 receptor deficiency_IL6R_AR	IL6 receptor deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AR	147880	IL6R	IL6R	3570	Recurrent pyogenic infections, cold abscesses, high circulating IL-6 levels,	Normal	Normal	High IgE	Normal	nan	['Sarilumab: D10161<JP/US>', 'Satralizumab: D11079<JP/US>', 'Tocilizumab: D02596<JP/US>']	['hsa01521  EGFR tyrosine kinase inhibitor resistance', 'hsa04060  Cytokine-cytokine receptor interaction', 'hsa04061  Viral protein interaction with cytokine and cytokine receptor', 'hsa04066  HIF-1 signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04640  Hematopoietic cell lineage', 'hsa04659  Th17 cell differentiation', 'hsa04932  Non-alcoholic fatty liver disease', 'hsa05163  Human cytomegalovirus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer']	['HP:0002718', 'HP:0002715', 'HP:0001051', 'HP:0000007', 'HP:0025615', 'HP:0003212']
IL6 signal transducer (IL6ST) deficiency_IL6ST_AR	IL6 signal transducer (IL6ST) deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AR	618523	IL6ST	IL6ST	3572	Fatal Stuve-Weidemann-like syndrome; skeletal dysplasia, lung dysfunction, renal abnormalities, thrombocytopenia, dermatitis, eczema. Defective acute phase response. Complete unresponsiveness to IL-6 family cytokines	Most patients died early, no data	Most patients died early, no data	Most patients died early, no data	nan	nan	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04061  Viral protein interaction with cytokine and cytokine receptor', 'hsa04550  Signaling pathways regulating pluripotency of stem cells', 'hsa04630  JAK-STAT signaling pathway', 'hsa04659  Th17 cell differentiation', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis']	['HP:0000964', 'HP:0002715', 'HP:0001051', 'HP:0000007', 'HP:0002652', 'HP:0001873', 'HP:0033331', 'HP:0011123']
IL6 signal transducer (IL6ST) deficiency_IL6ST_AD DN	IL6 signal transducer (IL6ST) deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AD DN		IL6ST	IL6ST	3572	HIES – STAT3-like; dermatitis/eczema, eosinophilia, recurrent skin infections, pneumonia, bronchiectasis, pneumatoceles with severe secondary pulmonary aspergillosis, connective tissue defects (scoliosis, face, joints, fractures, palate, tooth retention). Phenocopies aspects of IL6R and IL11R deficiencies (due to unresponsiveness to these cytokines)	Normal T cell numbers, increased naïve CD4 and CD8 T cell proportions. Decreased TCM CD4+ and CD8+ T cells, TEM CD8 T cells; MAIT, Tfh cells.  Increased Th2. Low to normal NK cell counts	Normal numbers of B cells, low memory B cells	Normal/low IgG, A, Normal IgM. Hyper IgE. Vaccine IgG normal	Normal	nan	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04061  Viral protein interaction with cytokine and cytokine receptor', 'hsa04550  Signaling pathways regulating pluripotency of stem cells', 'hsa04630  JAK-STAT signaling pathway', 'hsa04659  Th17 cell differentiation', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis']	['HP:0001880', 'HP:0000006', 'HP:0001581', 'HP:0002715', 'HP:0001051', 'HP:0100658', 'HP:0002720', 'HP:0002110', 'HP:0002090', 'HP:0003212', 'HP:0002650', 'HP:0004315']
PGM3 deficiency_PGM3_AR	PGM3 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AR	172100	PGM3	PGM3	5238	Severe atopy, autoimmunity, bacterial and viral infections, skeletal anomalies dysplasia: short stature, brachydactyly, dysmorphic facial features, and intellectual disability cognitive impairment, hypomyelination	CD8 and CD4 T cells may be decreased	Low B and memory B cells	Normal or elevated IgG and IgA, most high IgE,	nan	nan	[]	['hsa00520  Amino sugar and nucleotide sugar metabolism', 'hsa01100  Metabolic pathways', 'hsa01250  Biosynthesis of nucleotide sugars']	['HP:0004322', 'HP:0003237', 'HP:0002715', 'HP:0001051', 'HP:0002960', 'HP:0001999', 'HP:0001156', 'HP:0000007', 'HP:0000924', 'HP:0001249', 'HP:0003212', 'HP:0003261', 'HP:0100543']
Comel-Netherton syndrome_SPINK5_AR	Comel-Netherton syndrome	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AR	605010	SPINK5	SPINK5	11005	Congenital ichthyosis, bamboo hair, atopic diathesis, increased bacterial infections, failure to thrive	Normal	Low Switched and non-switched B cells	High IgE and IgA	Normal	nan	[]	[]	['HP:0001508', 'HP:0002715', 'HP:0001051', 'HP:0008064', 'HP:0000007', 'HP:0003212', 'HP:0007431', 'HP:0003261']
AD-HIES  Job syndrome_STAT3_AD LOF	AD-HIES  Job syndrome	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AD LOF	102582	STAT3	STAT3	6774	Distinctive facial features (broad nasal bridge), bacterial infections (boils and pulmonary abscesses, pneumatoceles) due to S. aureus, pulmonary aspergillus, Pneumocystis jirovecii, eczema, mucocutaneous candidiasis, hyperextensible joints, osteoporosis and bone fractures, scoliosis, retention of primary teeth,  coronary and cerebral aneurysm formation	Normal overall, Th-17 and T-follicular helper cells decreased	Normal,  reduced switched and non-switched memory B cells, BAFF expression increased	High IgE	Normal	nan	['Napabucasin: D10717']	['hsa01521  EGFR tyrosine kinase inhibitor resistance', 'hsa04062  Chemokine signaling pathway', 'hsa04066  HIF-1 signaling pathway', 'hsa04068  FoxO signaling pathway', 'hsa04217  Necroptosis', 'hsa04550  Signaling pathways regulating pluripotency of stem cells', 'hsa04630  JAK-STAT signaling pathway', 'hsa04659  Th17 cell differentiation', 'hsa04917  Prolactin signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04931  Insulin resistance', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa04935  Growth hormone synthesis, secretion and action', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05205  Proteoglycans in cancer', 'hsa05206  MicroRNAs in cancer', 'hsa05207  Chemical carcinogenesis - receptor activation', 'hsa05212  Pancreatic cancer', 'hsa05221  Acute myeloid leukemia', 'hsa05223  Non-small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease', 'hsa05417  Lipid and atherosclerosis']	['HP:0000006', 'HP:0000964', 'HP:0002617', 'HP:0002728', 'HP:0002715', 'HP:0001051', 'HP:0020110', 'HP:0004944', 'HP:0025615', 'HP:0003212', 'HP:0000939', 'HP:0002650', 'HP:0000431', 'HP:0001382']
